Running Serial No (301),TDS (302),Surcharge,Education Cess (303),Interest (304),Fee (305),Others (306),Total Tax Deposited (307),BSR Code/24G Receipt No (309),Date on Tax Deposited (dd/mm/yyyy) (311),Transfer Voucher/Challan Serial No (310),Whether TDS Deposited by Book Entry (308),Minor head (312)
1,463500,0,0,0,0,0,463500,0510002,01-05-2024,3511,,200
2,104400,0,0,0,0,0,104400,0510002,19-05-2024,2918,,200
3,563000,0,0,0,0,0,563000,0510002,01-06-2024,4931,,200
4,565600,0,0,0,0,0,565600,0510002,28-06-2024,8144,,200
